Album Name,Artists,Release Date,Popularity,Image URL
Hijos Del Sol,Hermanos Gutiérrez,2020-09-25,0,https://i.scdn.co/image/ab67616d0000b273b6d50693729b4c2a31f647bb
Aspra Pote Den Foresa (Ta Laika Paraleipomena),"Sokratis Malamas, Ioulia Karapataki",2022-09-23,12,https://i.scdn.co/image/ab67616d0000b27371f54fd6c7028d2603e4478a
The Return,Kamaal Williams,2018-05-25,25,https://i.scdn.co/image/ab67616d0000b273c697d89a9ae61db41d9bd297
Wu Hen,Kamaal Williams,2020-07-24,33,https://i.scdn.co/image/ab67616d0000b2733ba9320e3c9d5d6d65c865d8
Bossa Nova Soul Samba,Ike Quebec,1996-01-01,47,https://i.scdn.co/image/ab67616d0000b273f7f8e9a15bb31c9aaff49f45
Snap You Neck Back,Gasoline,2005-09-01,19,https://i.scdn.co/image/ab67616d0000b273fb662a2c3867dd58057b915d
Estoudiantina Live In New York,Estoudiantina Neas Ionias,2011-01-01,2,https://i.scdn.co/image/ab67616d0000b273586363ada2ee0e18c04f229b
Gynaikes Tis Pikras - Women Of Sorrow,Nikos Grapsas,1998-01-01,0,https://i.scdn.co/image/ab67616d0000b27390d1d0620e793b6c3f4695de
Erotokritos (30th Anniversary Edition / Remastered),"Nikos Xilouris, Tania Tsanaklidou",1976-05-28,6,https://i.scdn.co/image/ab67616d0000b273452794198aa5f565e10d748f
The Nuance Emporium,jiabeats,2020-12-11,4,https://i.scdn.co/image/ab67616d0000b273b340ce820778f2c6f0f5bb78
Sgt. Pepper's Lonely Hearts Club Band (Deluxe Edition),The Beatles,1967-06-01,44,https://i.scdn.co/image/ab67616d0000b27348eeac769c253bfc05a0d1fc
Planet 432,Mik Attal,2022-05-27,0,https://i.scdn.co/image/ab67616d0000b273094a36503d49468d10852c92
He Hecho Mucho por Ti,"Palov, A.Angelides",2017,19,https://i.scdn.co/image/ab67616d0000b273f1da103ec13fe185e1526738
Metro,LEX,2022-05-13,49,https://i.scdn.co/image/ab67616d0000b27321c269dc6c375821de8bd77c
Preemptive Strike,DJ Shadow,1998-01-13,0,https://i.scdn.co/image/ab67616d0000b27379c0803aa37d736d83d16151
Our Pathetic Age,DJ Shadow,2019-11-15,42,https://i.scdn.co/image/ab67616d0000b27347afc94e2720af9f2a862d49
Endangered Species (Bonus Edition),Nickodemus,2005,0,https://i.scdn.co/image/ab67616d0000b2735e2a88e6b2f210f377d3a407
Romiosini,"Grigoris Bithikotsis, Mikis Theodorakis",2004-01-01,5,https://i.scdn.co/image/ab67616d0000b2735cfec22403e5434cc0f287b9
Rare Recordings,Mikis Theodorakis,2009-01-19,1,https://i.scdn.co/image/ab67616d0000b273ad4caaa79e82d1ddd4ad4795
Uranya,Panayotis Kalantzopoulos,2006-01-01,0,https://i.scdn.co/image/ab67616d0000b273d2fb23358a8f7083d4c003d3
Magma,Black Flower,2022-01-28,24,https://i.scdn.co/image/ab67616d0000b2732468c25f3b34ce1637a2e86c
The World Within (Deluxe),Moderator,2015-02-19,45,https://i.scdn.co/image/ab67616d0000b273005132ebc7693fd385bb8058
